,Events,,Content,,Product,,,Open Source,,,,Community,,,,,Social,,,,To categorize somewhere:,,,,,,
,7an,5gb,nxt,zzj,ajo,rqu,mrq,rbu,jnv,kfs,i8n,4x9,ngj,vyn,bvi,klo,w3e,cik,o41,0j9,keg,rp2,xp6,vap,3dm,9qp,qdn
Lead ID,"🎤 Run an Ops Event (for a given month, i.e. Community Call, Calendar) [10 pts]",🎙️ Gave a talk about us [10 pts],📚 Wrote blog post for MGD (for internal publication) [9 pts],💌 Follow MGD on Medium [1 pt],🆘 Successful support interaction [6 pts],🌱 Starting using new feature (Educational Call) [6 pts],🙋‍♂️ Fill member feedback surverys [4 pts],📝Submit MGD Improvement Proposal (MIP) [8 pts],✍️ Contributed to our Documentation [7 pts],📋 Opened a Ticket on Notion [4 pts],⭐ Create Discourse Account [1 pt],🏵 Attended Committee Call [7 pts],🤓 Answered forum question [6 pts],📞 Attended Dao-wide Call [6 pts],👐 Onboarding a new member [6 pts],👋 Joined the DAO,🎳 Posted about us in external/private forum [5 pts],🗣 Tweeted about us [4 pts],🐦 Retweeted our tweet [2 pts],🐦 Followed us on twitter [1 pt],"Grants - promote & update grants criteria, outreach [9 pts]",Grants - review applications (as part of a team) [9 pts],"Grants - administration - followup, refinement, onboarding [10 pts]",Grants - accounting and payments [9 pts],"Treasury reports to the DAO (monthly or quarterly) - assets held, money in, money out in the period [10 pts]",Fundraising - close a grant (upon receipt) [10 pts],Fundrasing - create and deliver a marketing/outreach campaign [10 pts]
mgd42,,,,,,,,,,,,,,,,1,,,,,,,,,,,
mgd43,,,,,,,,,,,,,,,,1,,,,,,,,,,,
mgd44,,,,,,,,,,,,,,,,1,,,,,,,,,,,
mgd45,,,,,,,,,,,,,,,,1,,,,,,,,,,,
mgd46,,,,,,,,,,,,,,,,1,,,,,,,,,,,
mgd47,,,,,,,,,,,,,,,,1,,,,,,,,,,,
mgd48,,,,,,,,,,,,,,,,1,,,,,,,,,,,
mgd49,,,,,,,,,,,,,,,,1,,,,,,,,,,,
mgd50,,,,,,,,,,,,,,,,1,,,,,,,,,,,
mgd51,,,,,,,,,,,,,,,,1,,,,,,,,,,,
mgd52,,,,,,,,,,,,,,,,1,,,,,,,,,,,
mgd53,,,,,,,,,,,,,,,,1,,,,,,,,,,,
mgd54,,,,,,,,,,,,,,,,1,,,,,,,,,,,
mgd55,,,,,,,,,,,,,,,,1,,,,,,,,,,,
mgd56,,,,,,,,,,,,,,,,1,,,,,,,,,,,
mgd57,,,,,,,,,,,,,,,,1,,,,,,,,,,,
mgd58,,,,,,,,,,,,,,,,1,,,,,,,,,,,
mgd59,,,,,,,,,,,,,,,,1,,,,,,,,,,,
mgd60,,,,,,,,,,,,,,,,1,,,,,,,,,,,
mgd61,,,,,,,,,,,,,,,,1,,,,,,,,,,,
mgd62,,,,,,,,,,,,,,,,1,,,,,,,,,,,
mgd63,,,,,,,,,,,,,,,,1,,,,,,,,,,,
mgd64,,,,,,,,,,,,,,,,1,,,,,,,,,,,
mgd65,,,,,,,,,,,,,,,,1,,,,,,,,,,,
mgd66,,,,,,,,,,,,,,,,1,,,,,,,,,,,
mgd67,,,,,,,,,,,,,,,,1,,,,,,,,,,,
mgd68,,,,,,,,,,,,,,,,1,,,,,,,,,,,
mgd69,,,,,,,,,,,,,,,,1,,,,,,,,,,,
mgd70,,,,,,,,,,,,,,,,1,,,,,,,,,,,
mgd75,,,,,,,,,,,,,,,,1,,,,,,,,,,,
