,Events,,Content,,,Product,,,,,,,,Open Source,,,,,Community,,,,,Social,,,,To categorize somewhere:,,,,,,
Lead ID,"🎤 Run an Ops Event (for a given month, i.e. Community Call, Calendar) [10 pts]",🎙️ Gave a talk about us [10 pts],📚 Wrote blog post for MGD (for internal publication) [9 pts],✏️ Wrote a blog post about MGD (for external publication) [9 pts],💌 Follow MGD on Medium [1 pt],🆘 Successful support interaction [6 pts],🌱 Starting using new feature (Educational Call) [6 pts],🧙‍♂️ Start/Run a Committee  [9 pts],🗳 Vote on a Proposal [8 pts],Sponsor a Proposal [8 pts],Process a Proposal [8 pts],🙋‍♂️ Fill member feedback surveys [4 pts],Governance - Enter Movement Model Data [9 pts],📝Submit MGD Improvement Proposal (MIP) [8 pts],✍️ Contributed to our Documentation [7 pts],📋 Opened a Ticket on Notion [4 pts],⭐ Create Discourse Account [1 pt],📏 Created a Poll [7 pts],🏵 Attended Committee Call [7 pts],🤓 Answered forum question [6 pts],📞 Attended Dao-wide Call [6 pts],👐 Onboarding a new member [6 pts],👋 Joined the DAO [5 pts],🎳 Posted about us in external/private forum [5 pts],🗣 Tweeted about us [4 pts],🐦 Retweeted our tweet [2 pts],🐦 Followed us on twitter [1 pt],"Grants - promote & update grants criteria, outreach [9 pts]",Grants - review applications (as part of a team) [9 pts],"Grants - administration - followup, refinement, onboarding [10 pts]",Grants - accounting and payments [9 pts],"Treasury reports to the DAO (monthly or quarterly) - assets held, money in, money out in the period [10 pts]",Fundraising - close a grant (upon receipt) [10 pts],Fundraising - create and deliver a marketing/outreach campaign [10 pts]
0x433968ad9ce08ae9a9e2030656b799258ba769dc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x5ae25ec8afc816f9b5aa8cca64217761179a7393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xbe91c35196c8525bdcb4515e1fdf706d806925cf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xd3e9d60e4e4de615124d5239219f32946d10151d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x5a4afc30b7d6090dc9911aa3355979d4c96cd72e,,,,,,1,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,
0xdcf070c63a3f50037ab7d890f82d21f80dd1a9c5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x8f959b5a95fd4789ea001ae4996dca0fc76e26e6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x2619c649d98ddddbb0b218823354fe1d41bf5ce0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xb12477246b881327abb87087afaf8e4ec5e31181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xe5ab50aa144c2879f3141d914625dce25a2be8fb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xfbac8daa7b3469ef4cdd56dc682ad396a419528d,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
0xcf79c7eaec5bdc1a9e32d099c5d6bdf67e4cf6e8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x000acfa58ab1c10ce214d7cb324554cb46eea7e6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x9b720446714a8364cda80c148ebb9e8245e57a25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x990fda0cfcb0a70495a9da39a296a210da806047,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,
0xd563f3237aa8e18a8d52442eefd896cf11f4fdd4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x3ef16cd1d0f2376d2bf415c1722b77e17e0a0246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xbb4bdbe6624249098e9c5eb9c94463bf85122dcf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xa172b292f4588ec1b8b7262a7e313a61bb676d94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x6ae59ed0b9a5955f89759899a6e93b7394768af2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x8b6ec2cf7e3be432f25ae7a587c2903ec595d859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x956d5740b3477f0b46dae26753b07ecbd8055908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x5fc19f2ac0a4b1200997b1e834e53cc085f005b8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x91ccc6afad6709ff96f78077495f9868c9eb41d2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meltem Demirrors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aminata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anu Bhardwaj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Areti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Waugh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
