,,,Events,,Content,,Product,,,Open Source,,,,Community,,,,,Social,,,,To categorize somewhere:,,,,,,
Member ID,Name,Twitter Handle,"🎤 Run an Ops Event (for a given month, i.e. Community Call, Calendar) [10 pts]",🎙️ Gave a talk about us [10 pts],📚 Wrote blog post for MGD (for internal publication) [9 pts],💌 Follow MGD on Medium [1 pt],🆘 Successful support interaction [6 pts],🌱 Starting using new feature (Educational Call) [6 pts],🙋‍♂️ Fill member feedback surverys [4 pts],📝Submit MGD Improvement Proposal (MIP) [8 pts],✍️ Contributed to our Documentation [7 pts],📋 Opened a Ticket on Notion [4 pts],⭐ Create Discourse Account [1 pt],🏵 Attended Committee Call [7 pts],🤓 Answered forum question [6 pts],📞 Attended Dao-wide Call [6 pts],👐 Onboarding a new member [6 pts],👋 Joined the DAO [5 pts],🎳 Posted about us in external/private forum [5 pts],🗣 Tweeted about us [4 pts],🐦 Retweeted our tweet [2 pts],🐦 Followed us on twitter [1 pt],"Grants - promote & update grants criteria, outreach [9 pts]",Grants - review applications (as part of a team) [9 pts],"Grants - administration - followup, refinement, onboarding [10 pts]",Grants - accounting and payments [9 pts],"Treasury reports to the DAO (monthly or quarterly) - assets held, money in, money out in the period [10 pts]",Fundraising - close a grant (upon receipt) [10 pts],Fundrasing - create and deliver a marketing/outreach campaign [10 pts]
0xa30ab83e693ad49f3f651085dad11d049c818923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xd4aa67f778bba2805bc122f18f3d61df59c7a542,Liz Yang,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x66b1de0f14a0ce971f7f248415063d44caf19398,Yalor,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x8c567955e5b1d4c78ef1732a486be8fe8e6dc30d,Rinji,@rinjiisan,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xd26a3f686d43f2a62ba9eae2ff77e9f516d945b9,Ven Gist,@vengist,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xf121163a94d094d099e3ad2b0decb65f97b6fecf,Mia,@miakoddda,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xc7f459c7edcf9333d223bd1c346f46819403ca06,Sydney Lai,@sydneylai,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x22361401f457f7e90fc91ae5875e3a08f5471fc0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x24aa0566fc4a75a740a0bc5fcb1509d6621932d0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x865c2f85c9fea1c6ac7f53de07554d68cb92ed88,Peter,@pet3rpan_,1,,,,,,,,,,,,,,,,,,,,,,,,,,
0x2e29ed9717dc1bbb6408c3f59072c6658b45d462,Marina Spindler,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x54becc7560a7be76d72ed76a1f5fee6c5a2a7ab6,Simona Pop,@Sim_Pop,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xad32c8075ac5e4795d6952215bd323be569a6f44,Annaliese,@annaliesemilano,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x433968ad9ce08ae9a9e2030656b799258ba769dc,Isa,@isakivlighan,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x5ae25ec8afc816f9b5aa8cca64217761179a7393,Solange Gueiros,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xbe91c35196c8525bdcb4515e1fdf706d806925cf,Mahoney Turnbull,@mahoneyjkt,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xd3e9d60e4e4de615124d5239219f32946d10151d,Alex Masmej,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x5a4afc30b7d6090dc9911aa3355979d4c96cd72e,Holly Grimm,@hollygrimm,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xdcf070c63a3f50037ab7d890f82d21f80dd1a9c5,Sam Flynn,@decentra1ized,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x8f959b5a95fd4789ea001ae4996dca0fc76e26e6,Seungwon Choi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x2619c649d98ddddbb0b218823354fe1d41bf5ce0,Travis Wyche,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xb12477246b881327abb87087afaf8e4ec5e31181,Juyeon Lee,@kwklly,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xe5ab50aa144c2879f3141d914625dce25a2be8fb,Yijia (Tiffany) Gao,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xfbac8daa7b3469ef4cdd56dc682ad396a419528d,Christine Vandevoorde,@TinaVandev,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xcf79c7eaec5bdc1a9e32d099c5d6bdf67e4cf6e8,Tamara,@tamarandom,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x000acfa58ab1c10ce214d7cb324554cb46eea7e6,Frances L,@FrancesLiddell,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x9b720446714a8364cda80c148ebb9e8245e57a25,Liza,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x990fda0cfcb0a70495a9da39a296a210da806047,Zoe Koulouris,@zoitsa430 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xd563f3237aa8e18a8d52442eefd896cf11f4fdd4,Frida Cai,@FridaCai_,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x3ef16cd1d0f2376d2bf415c1722b77e17e0a0246,Kate Kushpeleva,@KatyaKushh,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xbb4bdbe6624249098e9c5eb9c94463bf85122dcf,Vansa C.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xa172b292f4588ec1b8b7262a7e313a61bb676d94,Jennifer Bishop,@4rchbishop,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x6ae59ed0b9a5955f89759899a6e93b7394768af2,Anne Winterson,@AnneWinterson,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x8b6ec2cf7e3be432f25ae7a587c2903ec595d859,Ziwon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x956d5740b3477f0b46dae26753b07ecbd8055908,Jaclyn Lee,@jaclynlenee,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x5fc19f2ac0a4b1200997b1e834e53cc085f005b8,Lenkla Hu⬙kova,@LenklaH,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x91ccc6afad6709ff96f78077495f9868c9eb41d2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
